"area","epiweek","alpha_Rt","background_Rt","generation_time","alpha_cases_corrected","background_cases_corrected","alpha_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","stringency","gov_response","containment_health","economic_support"
"Bath and North East Somerset, Swindon and Wiltshire",45,1.61,1.01,"original",2.80377587043617,333.196224129564,0.0083445710429648,8.70638356889997,84.5498809814453,0.00607193088425057,23875.2399553571,5.75728194941608e-05,261.281707763672,983503,72.62,71.5785714285714,67.5171428571429,100
"Bath and North East Somerset, Swindon and Wiltshire",46,1.17,0.68,"original",14.607014474606,786.392985525394,0.018235973126849,11.3077313559396,87.3428464617048,0.00720948360062071,15536.2600446429,0.000135968143630245,261.281707763672,983503,77.78,74.48,70.83,100
"Bath and North East Somerset, Swindon and Wiltshire",47,1.3,0.71,"original",16.2881438470847,512.711856152915,0.0307904420549805,9.23118386949812,85.7627835954939,0.00631990110767739,11428.6312081473,2.84339320972192e-05,261.281707763672,983503,75.3971428571429,73.1428571428571,69.3042857142857,100
"Bath and North East Somerset, Swindon and Wiltshire",48,1.69,0.87,"original",17.9625065217196,366.03749347828,0.0467773607336449,7.20424008369446,92.0171770368304,0.00587759978537049,12052.3235909598,2.41254771798134e-05,261.281707763672,983503,75,72.92,69.05,100
"Bath and North East Somerset, Swindon and Wiltshire",49,2,1.02,"original",36.0767524952772,330.923247504723,0.0983017779162867,5.30286165646144,89.5937957763672,0.0047807075482394,10657.8486328125,0.00013381341510207,261.281707763672,983503,70.7657142857143,68.7514285714286,64.2842857142857,100
"Bath and North East Somerset, Swindon and Wiltshire",50,2.17,1.17,"original",97.9309913375654,335.069008662435,0.226168571218396,6.95764817510332,91.5816432407924,0.00533775246835181,10274.1699567522,0.000109485928403176,261.281707763672,983503,67.59,69.8842857142857,65.5771428571429,100
"Bath and North East Somerset, Swindon and Wiltshire",51,1.93,1.14,"original",239.340754963987,361.659245036013,0.398237529058215,9.52930722917829,87.5365687779018,0.00623524561524391,9739.67013113839,0.000125375190171846,261.281707763672,983503,68.65,71.0142857142857,66.87,100
"Bath and North East Somerset, Swindon and Wiltshire",52,2.28,1.34,"original",441.409765568076,426.590234431924,0.508536596276585,7.03793518458094,88.526611328125,0.00565726945309767,9324.71871512277,0.000230485131136707,261.281707763672,983503,72.6857142857143,73.28,69.4642857142857,100
"Bath and North East Somerset, Swindon and Wiltshire",53,1.02,0.6,"original",996.526583995113,626.473416004887,0.614002824396249,2.02239446129118,92.2771595546177,0.00379394653386303,11407.5036969866,4.23343219608796e-05,261.281707763672,983503,74.07,74.06,70.36,100
"Bath and North East Somerset, Swindon and Wiltshire",54,0.84,0.49,"original",891.265841004599,343.734158995401,0.721672745752712,0.686430181775774,90.3755929129464,0.00361771143174597,13135.5714285714,7.13290017578012e-06,261.281707763672,983503,85.9757142857143,82.5457142857143,80.0542857142857,100
"Bath and North East Somerset, Swindon and Wiltshire",55,0.76,0.46,"original",765.350176916116,214.649823083884,0.780969568281751,5.11958450291838,91.1553649902344,0.00510242830828897,10714.6582728795,0.000120136530670477,261.281707763672,983503,87.96,83.96,81.67,100
"Bedfordshire, Luton and Milton Keynes",45,2.05,1.07,"original",15.574767366056,1161.42523263394,0.0132325975922311,8.58126490456717,83.5002452305385,0.00591570145583579,22450.70703125,4.31072532722153e-05,488.909729003906,944449,72.62,71.5785714285714,67.5171428571429,100
"Bedfordshire, Luton and Milton Keynes",46,1.66,0.83,"original",55.7318691447507,1238.26813085525,0.0430694506528212,11.2081117630005,86.577401297433,0.00715670940865363,15157.643484933,0.000128425323185054,488.909729003906,944449,77.78,74.48,70.83,100
"Bedfordshire, Luton and Milton Keynes",47,1.72,0.86,"original",132.171051888384,1216.82894811162,0.0979770584791578,9.04233959742955,83.3138264247349,0.00606963144881385,11827.7523716518,2.47275419594319e-05,488.909729003906,944449,75.3971428571429,73.1428571428571,69.3042857142857,100
"Bedfordshire, Luton and Milton Keynes",48,2,1.01,"original",166.43535199717,822.56464800283,0.168286503536067,6.82900367464338,91.8484409877232,0.00569482047909072,11649.2098214286,1.21447630050397e-05,488.909729003906,944449,75,72.92,69.05,100
"Bedfordshire, Luton and Milton Keynes",49,2.53,1.27,"original",435.655477498758,1032.34452250124,0.296768036443296,4.94355320930481,89.7963572910854,0.00461900546880705,9286.44949776786,9.68995145415517e-05,488.909729003906,944449,70.7657142857143,68.7514285714286,64.2842857142857,100
"Bedfordshire, Luton and Milton Keynes",50,2.02,1.1,"original",1130.0866218289,1075.9133781711,0.512278613703038,6.01047604424613,92.7414103916713,0.00515215291774699,7877.10292271205,0.000115356746261698,488.909729003906,944449,67.59,69.8842857142857,65.5771428571429,100
"Bedfordshire, Luton and Milton Keynes",51,1.19,0.74,"original",1450.603553938,803.396446061997,0.643568568739132,9.15074505124773,86.7514877319336,0.00612038001418114,10342.3021763393,4.92717187065799e-05,488.909729003906,944449,68.65,71.0142857142857,66.87,100
"Bedfordshire, Luton and Milton Keynes",52,1.49,0.95,"original",2857.73303513019,802.26696486981,0.780801375718631,6.28213586338929,87.8050079345703,0.00530396864217307,9183.94321986607,0.000228129435973707,488.909729003906,944449,72.6857142857143,73.28,69.4642857142857,100
"Bedfordshire, Luton and Milton Keynes",53,0.87,0.59,"original",3416.54156700089,837.458432999106,0.803136240479759,2.0004232270377,91.6440920148577,0.00382708215952984,10633.561453683,1.08600027683029e-05,488.909729003906,944449,74.07,74.06,70.36,100
"Bedfordshire, Luton and Milton Keynes",54,0.78,0.52,"original",3975.72518288805,671.274817111953,0.855546628553485,0.834444182259696,90.4584328787667,0.00366242762122835,12325.8854631696,1.40968711507737e-05,488.909729003906,944449,85.9757142857143,82.5457142857143,80.0542857142857,100
"Bedfordshire, Luton and Milton Keynes",55,0.82,0.54,"original",4116.61671306528,830.383286934715,0.832144069752433,3.42863034776279,88.9485855102539,0.00438953400589526,8441.0947265625,0.000261707746466706,488.909729003906,944449,87.96,83.96,81.67,100
"Birmingham and Solihull",45,1.8,1.04,"original",1.1156461916216,429.884353808378,0.00258850624506171,8.04510661533901,84.6509628295898,0.00575818407482335,21713.0276227679,7.84939936368443e-05,1754.47473144531,787282,72.62,71.5785714285714,67.5171428571429,100
"Birmingham and Solihull",46,1.43,0.78,"original",1.77204340926545,256.227956590735,0.00686838530723044,10.7355916159494,87.445195879255,0.00693916715681553,13866.9830496652,0.000130505982139896,1754.47473144531,787282,77.78,74.48,70.83,100
"Birmingham and Solihull",47,1.41,0.72,"original",6.86651231191585,354.133487688084,0.0190208097282988,9.09217534746442,83.9587020874023,0.00615185958200267,9874.00509207589,3.84344507133554e-05,1754.47473144531,787282,75.3971428571429,73.1428571428571,69.3042857142857,100
"Birmingham and Solihull",48,1.68,0.82,"original",10.4597325810388,296.540267418961,0.0340707901662502,6.70969935825893,90.6687316894531,0.0055961139234049,10066.0857282366,5.23202831421392e-05,1754.47473144531,787282,75,72.92,69.05,100
"Birmingham and Solihull",49,1.9,0.93,"original",23.3389611858598,211.66103881414,0.0993147284504674,4.96983913012913,91.1985048566546,0.00473240317244615,7546.29457310268,0.000164399789615085,1754.47473144531,787282,70.7657142857143,68.7514285714286,64.2842857142857,100
