"area","epiweek","delta_Rt","alpha_Rt","Ratio","alpha_cases","delta_cases","delta_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","full_vax","full_vax_rate","stringency","gov_response","containment_health","economic_support","stringency_lag1","stringency_lag2","gov_response_lag1","gov_response_lag2","containment_health_lag1","containment_health_lag2","economic_support_lag1","economic_support_lag2"
"Bath and North East Somerset, Swindon and Wiltshire",18,0.908383284299036,0.7719574126834,1.20258894148235,11,37,0.770833333333333,8.96870422363281,75.2964728219169,0.0053751742068146,73476.3233816964,0.000175684674364415,261.281707763672,983503,496209,252463,252463,0.256697742660673,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bath and North East Somerset, Swindon and Wiltshire",19,0.967306997087065,0.743555705796621,1.32452616601134,12,40,0.769230769230769,10.3513125010899,83.4594846452985,0.00635603708880288,77316.2059151786,0.000285229990757736,261.281707763672,983503,512670,299265,299265,0.304284786116565,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bath and North East Somerset, Swindon and Wiltshire",20,1.2035495619226,0.767627775613482,1.57220101671998,24,10,0.294117647058824,10.190644127982,80.9495293753488,0.00616539382774915,77435.0340401786,0.000253519729345239,261.281707763672,983503,530687,341697,341697,0.347428528433569,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bath and North East Somerset, Swindon and Wiltshire",21,1.49643518326246,0.804714180767375,1.86708357797319,10,39,0.795918367346939,11.7622665677752,70.9083927699498,0.00596387943785105,91621.3013392857,6.2869748951628e-05,261.281707763672,983503,549066,377448,377448,0.383779205554025,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Bath and North East Somerset, Swindon and Wiltshire",22,1.67296100271424,0.788359966517616,2.11780327628297,22,95,0.811965811965812,15.3389813559396,71.2618364606585,0.00757149433983224,101433.08203125,2.08647897944614e-05,261.281707763672,983503,560520,412567,412567,0.419487281685973,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bath and North East Somerset, Swindon and Wiltshire",23,1.72671347633445,0.763345134437747,2.26517220066517,87,175,0.66793893129771,15.9195628847395,76.8993988037109,0.00860279206452625,95048.6238839286,8.19209011483833e-06,261.281707763672,983503,578819,435766,435766,0.443075415123289,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bath and North East Somerset, Swindon and Wiltshire",24,1.66760025631567,0.754061108170536,2.20383311357459,0,396,1,15.8399659565517,77.8678022112165,0.00867360710565533,77426.3577008929,0.000320863999744704,261.281707763672,983503,609261,446640,446640,0.454131812510994,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bath and North East Somerset, Swindon and Wiltshire",25,1.70146554745471,0.788146354703527,2.14969022883372,0,651,1,13.9789239338466,77.5824312482561,0.00770688036988888,80480.4207589286,0.000229300816954746,261.281707763672,983503,633584,460186,460186,0.467905029267831,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Bath and North East Somerset, Swindon and Wiltshire",26,1.74789413018487,0.82037071780994,2.12169522733474,10,1178,0.991582491582492,15.7742772783552,85.7218606131417,0.00953498376267297,73700.5452008929,0.000199456650859377,261.281707763672,983503,653520,472623,472623,0.480550643973633,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Bedfordshire, Luton and Milton Keynes",18,1.60867800291592,0.901687740859631,1.77677072337647,58,113,0.660818713450292,8.87165839331491,73.4785118103027,0.00524949279081609,72955.1309988839,0.000184499825211658,488.909729003906,944449,468179,207110,207110,0.219291883415621,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bedfordshire, Luton and Milton Keynes",19,1.48868017178146,0.818629512504084,1.81504764136068,82,179,0.685823754789272,10.7319801875523,78.1432778494699,0.00610559606658561,78398.6696428571,0.000194658318443024,488.909729003906,944449,480799,242755,242755,0.25703346607387,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bedfordshire, Luton and Milton Keynes",20,1.23758414118514,0.709915424165929,1.74354769032075,54,392,0.878923766816143,10.1841212681362,78.7260219029018,0.00598725629970431,76883.7338169643,0.000212639428874744,488.909729003906,944449,496176,284078,284078,0.300787019733199,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bedfordshire, Luton and Milton Keynes",21,1.12365690278182,0.66020737757011,1.70805650827799,25,418,0.943566591422122,11.2305244718279,73.0856366838728,0.00596404468108501,88814.0669642857,5.81688149249463e-05,488.909729003906,944449,520089,322309,322309,0.341266706831179,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Bedfordshire, Luton and Milton Keynes",22,1.02012402230787,0.618154536319326,1.65434993001202,20,502,0.961685823754789,15.9134186335972,69.9841978890555,0.00765517054657851,99525.4444754464,4.63121689823051e-05,488.909729003906,944449,540466,359010,359010,0.380126401743239,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bedfordshire, Luton and Milton Keynes",23,1.06182629887294,0.639766497993584,1.66479489317352,13,560,0.977312390924956,17.2751693725586,69.2421133858817,0.008413089638842,96540.6171875,2.87373128214443e-06,488.909729003906,944449,567341,387251,387251,0.410028492803741,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bedfordshire, Luton and Milton Keynes",24,1.46437810066283,0.793910907959037,1.83217508066105,11,435,0.975336322869955,15.8902613776071,77.0217001778739,0.00856325622381908,73918.8695591518,0.000380069745919595,488.909729003906,944449,586540,407667,407667,0.431645329710763,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bedfordshire, Luton and Milton Keynes",25,1.80022537744998,0.927355290595866,1.9209062440425,9,774,0.988505747126437,13.8376393999372,77.9964670453753,0.00766855604680521,79805.7120535714,9.23444671830761e-05,488.909729003906,944449,606459,421672,421672,0.446474081713253,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Bedfordshire, Luton and Milton Keynes",26,1.89766280258613,0.967512971503546,1.91539683195377,15,1527,0.990272373540856,15.2602396011353,82.7971136910575,0.00893878497715507,69380.2745535714,0.000193729914859172,488.909729003906,944449,616664,437664,437664,0.463406705920595,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Birmingham and Solihull",18,1.52763054566179,0.865234747405058,1.77098169649426,77,12,0.134831460674157,8.4189429964338,76.5283284868513,0.00526706581669194,69706.0739397321,0.00023216723898908,1754.47473144531,787282,598586,286537,286537,0.363957260549587,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Birmingham and Solihull",19,1.73799896280431,0.875640057972675,1.99157079065272,60,54,0.473684210526316,10.4207391738892,79.9196243286133,0.00606997504032084,78883.1277901786,0.000146715019062477,1754.47473144531,787282,609328,333737,333737,0.423910365028033,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Birmingham and Solihull",20,1.76835300824039,0.861204608812757,2.06374948821584,33,159,0.828125,10.1061954498291,78.2302115304129,0.00588808301836252,74463.1205357143,0.000261264808484287,1754.47473144531,787282,631365,382598,382598,0.485973259899248,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Birmingham and Solihull",21,1.5838582035216,0.808770484290407,1.95781749002842,35,372,0.914004914004914,11.6118219920567,70.9968359810965,0.00593252699556095,85383.2388392857,7.61117241410147e-05,1754.47473144531,787282,654511,431845,431845,0.54852644922658,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Birmingham and Solihull",22,1.45488148345621,0.775333274744349,1.86436273662626,21,575,0.964765100671141,15.5286286217826,69.1584794180734,0.00751446945858853,102492.712053571,2.23035070842093e-05,1754.47473144531,787282,672585,469314,469314,0.596119306677912,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Birmingham and Solihull",23,1.43553719752736,0.787279229515487,1.81567396778845,17,887,0.981194690265487,16.420779636928,71.2029271806989,0.00828529508518321,95982.1071428571,7.20942006994717e-06,1754.47473144531,787282,696358,503531,503531,0.639581496846111,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Birmingham and Solihull",24,1.58440903554811,0.845810730999108,1.87440482024046,12,1176,0.98989898989899,14.9708456311907,74.180976322719,0.00779975950717926,78033.7346540179,0.000188778238550315,1754.47473144531,787282,725797,528143,528143,0.670843484291525,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Birmingham and Solihull",25,1.52055888830993,0.851292886582073,1.78790136085506,18,2091,0.991465149359886,13.4773855209351,76.149473462786,0.00731946833963905,80680.2890625,5.13349563041134e-05,1754.47473144531,787282,751772,547013,547013,0.694812024153988,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Birmingham and Solihull",26,1.53607456865574,0.869705252110183,1.76201677509491,23,3250,0.99297280782157,15.4360547746931,81.0660062517439,0.00878527494413512,71116.3178013393,0.000131679309138885,1754.47473144531,787282,765530,562467,562467,0.714441585099113,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Bristol, North Somerset and South Gloucestershire",18,1.43835266775096,0.785732142370323,1.83699040115101,0,49,1,9.01928152356829,74.2712222508022,0.00538476509973407,73747.7041015625,0.000201066790525926,619.784790039062,963522,489943,247662,247662,0.257038240953502,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bristol, North Somerset and South Gloucestershire",19,1.55325142475896,0.738292207582475,2.11035472100196,26,26,0.5,10.31490952628,82.8940876552037,0.00637974323970931,75606.8465401786,0.000330479899795526,619.784790039062,963522,507351,282121,282121,0.292801824971303,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bristol, North Somerset and South Gloucestershire",20,1.55462646330609,0.650273209881443,2.38314443243679,NA,NA,NA,10.2014175142561,80.014281136649,0.00615404712568436,79700.5262276786,0.00026308908854844,619.784790039062,963522,526085,323761,323761,0.336018274621649,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Bristol, North Somerset and South Gloucestershire",21,1.62809446427788,0.584970679969349,2.77679143578083,NA,NA,NA,11.962641443525,69.2542942592076,0.00594912116814937,89556.4854910714,5.61640213417393e-05,619.784790039062,963522,548357,366442,366442,0.380315135513252,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Bristol, North Somerset and South Gloucestershire",22,1.79551447170903,0.560925236051202,3.22667408539223,19,214,0.918454935622318,15.1312326703753,70.7976537431989,0.00752403141398515,100053.337053571,2.86611923416201e-05,619.784790039062,963522,568371,403180,403180,0.418444000240783,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bristol, North Somerset and South Gloucestershire",23,1.61333834973074,0.509563482470931,3.17221899952128,0,557,1,15.5645192010062,76.8463690621512,0.00845519825816154,93719.6261160714,8.07246524508238e-06,619.784790039062,963522,595951,425721,425721,0.441838380441754,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bristol, North Somerset and South Gloucestershire",24,1.60953806873687,0.501971217063124,3.18015678871561,0,877,1,15.6059528078352,74.8648240225656,0.00821666419506073,81212.7918526786,0.000152309897909423,619.784790039062,963522,624899,440885,440885,0.457576474641991,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Bristol, North Somerset and South Gloucestershire",25,1.70048241489813,0.531568471350911,3.19139578837782,0,1458,1,14.0195439202445,75.7202835083008,0.00753816696149962,83145.2661830357,0.000148045239257044,619.784790039062,963522,654817,449886,449886,0.46691824369345,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Bristol, North Somerset and South Gloucestershire",26,1.72329628061486,0.546553009482074,3.13135145252077,0,2666,1,15.8557825088501,83.6840090070452,0.00935431050934962,73474.6925223214,0.000248435772976206,619.784790039062,963522,670948,465480,465480,0.48310261727288,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",18,1.43544025777031,0.836713405835477,1.71730123784335,77,23,0.23,8.90231534412929,74.327399117606,0.00529887397507472,73657.2310267857,0.000173685444159284,368.807464599609,1115013,922341,425142,425142,0.381288828022633,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Buckinghamshire, Oxfordshire and Berkshire West",19,1.71883149729513,0.852472505592768,2.01450683242248,63,62,0.496,10.4777961458479,80.9048690795898,0.00620709060292159,77194.0513392857,0.000211203165235929,368.807464599609,1115013,951597,496135,496135,0.444958937698484,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
