"area","epiweek","date","Ratio","omicron_Rt","delta_Rt","delta_cases","omicron_cases","omicron_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","third_dose","full_vax_rate","stringency","gov_response","containment_health","economic_support"
"Bath and North East Somerset, Swindon and Wiltshire",47,2021-11-24,3.91203029065041,4.15830466054234,1.28573522194906,128,1,0.00775193798449612,4.2885377577373,82.0653893607003,0.0042112943317209,16448.0206473214,4.10670408663399e-05,261.281707763672,983503,733381,674340,257561,0.261881255064804,23.15,34.3357142857143,35.6742857142857,25
"Bath and North East Somerset, Swindon and Wiltshire",48,2021-12-01,5.91801316450242,4.52223215619872,0.780075244361489,987,16,0.0159521435692921,5.85809821741922,85.5605218069894,0.00486373296007514,14102.9426618304,7.19064184003011e-05,261.281707763672,983503,735069,676871,295118,0.300068225516343,23.15,34.9,36.31,25
"Bath and North East Somerset, Swindon and Wiltshire",49,2021-12-08,5.46584808221858,2.45879832977464,0.442214018449846,816,119,0.127272727272727,7.27033192770822,83.3948843819754,0.00509959991489138,8843.79523577009,0.000150361371912108,261.281707763672,983503,736892,679998,337285,0.342942522798609,23.15,34.9,36.31,25
"Bath and North East Somerset, Swindon and Wiltshire",50,2021-12-15,4.04825987711029,1.08593132101876,0.263812213730955,670,917,0.577819785759294,8.03264365877424,91.6775774274554,0.00619691437376397,8714.76032366071,8.50309317814078e-06,261.281707763672,983503,739635,684297,424287,0.431403869637408,35.45,41.8157142857143,44.2185714285714,25
"Bedfordshire, Luton and Milton Keynes",47,2021-11-24,5.35880348691488,4.92623562667105,1.4720662568648,241,4,0.0163265306122449,4.25402723891394,81.0171933855329,0.0041733748346035,14580.5657087054,6.99896092459002e-05,488.909729003906,944449,697440,628664,219840,0.232770641929845,23.15,34.3357142857143,35.6742857142857,25
"Bedfordshire, Luton and Milton Keynes",48,2021-12-01,7.08724419103293,3.95527612167415,0.567116577048471,2476,51,0.0201820340324495,5.30560771908079,84.9536339896066,0.00469177193008363,11855.6667131696,8.62877259767255e-05,488.909729003906,944449,699674,632594,255202,0.270212578974619,23.15,34.9,36.31,25
"Bedfordshire, Luton and Milton Keynes",49,2021-12-08,5.1281411012069,1.9874678492932,0.383907225366901,2856,500,0.148986889153754,6.33875404085432,85.1133128574916,0.00495326691972358,8456.41482979911,0.000143367247281796,488.909729003906,944449,701828,636113,293493,0.310755795177929,23.15,34.9,36.31,25
"Bedfordshire, Luton and Milton Keynes",50,2021-12-15,3.21561640023318,1.02494373614469,0.319764910123479,1553,2329,0.599948480164863,7.93048541886466,91.5597229003906,0.00611770625359246,7515.02950613839,1.22445526358206e-05,488.909729003906,944449,704464,640307,366989,0.388574713933733,35.45,41.8157142857143,44.2185714285714,25
"Birmingham and Solihull",47,2021-11-24,8.96187682287852,5.5927702542836,1.21864944275464,239,4,0.0164609053497942,4.14066605482783,81.9005573817662,0.00418013819892492,14571.1611328125,8.01239462328494e-05,1754.47473144531,787282,873906,775147,273604,0.347529855883915,23.15,34.3357142857143,35.6742857142857,25
"Birmingham and Solihull",48,2021-12-01,7.85505627541586,7.07829067765424,0.986142194865614,3007,22,0.00726312314295147,5.41405994551522,85.744028363909,0.00471382368622082,11444.0876116071,0.000102215615437932,1754.47473144531,787282,877466,780575,313038,0.39761864236703,23.15,34.9,36.31,25
"Birmingham and Solihull",49,2021-12-08,5.10983087303861,1.88846061085269,0.325404803178178,2553,325,0.112925642807505,6.47684005328587,86.5604466029576,0.00503997571234192,7753.78703962054,0.00015788935213225,1754.47473144531,787282,881089,785466,354916,0.450811780276953,23.15,34.9,36.31,25
"Birmingham and Solihull",50,2021-12-15,3.90665782389407,0.777008742757118,0.200086734476339,2309,3470,0.600449904827825,7.61717966624669,92.3720528738839,0.00608168362772891,7000.6572265625,2.39208453405938e-05,1754.47473144531,787282,886565,791603,447191,0.568018829339423,35.45,41.8157142857143,44.2185714285714,25
"Bristol, North Somerset and South Gloucestershire",47,2021-11-24,7.86520226360124,4.70147465902729,0.896598402150655,167,1,0.00595238095238095,4.70285286222185,79.5687659127372,0.00423890462012163,16954.28125,2.61515637467775e-05,619.784790039062,963522,747089,687511,259276,0.269091935627832,23.15,34.3357142857143,35.6742857142857,25
